Date,Time,Open,High,Low,Close,Volume
2009.03.10,0:00,1.2609,1.2822,1.2578,1.268,30963
2009.03.11,0:00,1.2677,1.2864,1.2616,1.2835,29495
2009.03.12,0:00,1.2835,1.2944,1.2731,1.2906,28322
2009.03.13,0:00,1.2906,1.2957,1.2862,1.2924,27826
2009.03.16,0:00,1.289,1.3071,1.2833,1.2966,22357
2009.03.17,0:00,1.2965,1.3032,1.2931,1.3016,26070
2009.03.18,0:00,1.3015,1.3497,1.2986,1.3468,30635
2009.03.19,0:00,1.3467,1.3737,1.3416,1.3663,36520
2009.03.20,0:00,1.3662,1.3726,1.3517,1.3577,28079
2009.03.23,0:00,1.3616,1.3735,1.3486,1.3632,28596
2009.03.24,0:00,1.3631,1.3678,1.3431,1.3467,31495
2009.03.25,0:00,1.3467,1.365,1.3418,1.3582,31505
2009.03.26,0:00,1.358,1.3639,1.3494,1.3526,28121
2009.03.27,0:00,1.3524,1.3591,1.3257,1.3287,26916
2009.03.30,0:00,1.3257,1.3285,1.3113,1.3198,22384
2009.03.31,0:00,1.3197,1.3342,1.3174,1.3249,21097
2009.04.01,0:00,1.3248,1.3286,1.3166,1.3248,41414
2009.04.02,0:00,1.3247,1.3516,1.3223,1.3459,43272
2009.04.03,0:00,1.3459,1.3495,1.3365,1.3486,37913
2009.04.06,0:00,1.3505,1.3578,1.3358,1.3416,22238
2009.04.07,0:00,1.3415,1.3418,1.3227,1.3271,23979
2009.04.08,0:00,1.3271,1.3309,1.3147,1.3281,24408
2009.04.09,0:00,1.3281,1.3335,1.3126,1.3168,25522
2009.04.10,0:00,1.3167,1.3187,1.3089,1.3185,8125
2009.04.13,0:00,1.3187,1.3391,1.3125,1.3369,15137
2009.04.14,0:00,1.3365,1.338,1.3226,1.3258,26444
2009.04.15,0:00,1.3258,1.3297,1.3146,1.3226,24969
2009.04.16,0:00,1.3225,1.3268,1.3126,1.3185,29758
2009.04.17,0:00,1.3186,1.3197,1.3017,1.3043,28143
2009.04.20,0:00,1.3056,1.3057,1.2888,1.2919,31663
2009.04.21,0:00,1.2918,1.2992,1.2896,1.2948,34393
2009.04.22,0:00,1.2948,1.3037,1.2885,1.3005,22762
2009.04.23,0:00,1.3004,1.3161,1.2983,1.3142,21243
2009.04.24,0:00,1.3143,1.3301,1.3112,1.3239,23674
2009.04.27,0:00,1.3245,1.3245,1.2999,1.3038,21421
2009.04.28,0:00,1.3037,1.3166,1.2964,1.3147,25089
2009.04.29,0:00,1.3147,1.3339,1.312,1.3272,25901
2009.04.30,0:00,1.3272,1.3385,1.3191,1.3229,37561
2009.05.01,0:00,1.3212,1.3328,1.3212,1.3269,15569
2009.05.04,0:00,1.3265,1.3425,1.3212,1.3406,20401
2009.05.05,0:00,1.3404,1.3438,1.3282,1.3329,23989
2009.05.06,0:00,1.3329,1.3374,1.3246,1.3334,26986
2009.05.07,0:00,1.3333,1.347,1.3252,1.339,28912
2009.05.08,0:00,1.3392,1.365,1.3342,1.3632,33229
2009.05.11,0:00,1.3638,1.3667,1.3557,1.3582,25125
2009.05.12,0:00,1.3581,1.3707,1.3563,1.3648,28839
2009.05.13,0:00,1.3649,1.3721,1.3566,1.3599,34980
2009.05.14,0:00,1.3599,1.3665,1.3525,1.3639,29705
2009.05.15,0:00,1.3638,1.365,1.3462,1.3494,27991
2009.05.18,0:00,1.348,1.3563,1.3424,1.356,22062
2009.05.19,0:00,1.3561,1.3668,1.353,1.363,32906
2009.05.20,0:00,1.363,1.3829,1.3583,1.378,35020
2009.05.21,0:00,1.3781,1.3923,1.3727,1.389,37044
2009.05.22,0:00,1.389,1.405,1.3888,1.3998,29693
2009.05.25,0:00,1.4013,1.4033,1.3958,1.4014,16602
